,Listed Count,Sentiment,Time,Tweet Count,Words
10,252,2.0,0:51,13,"['kenseysmom', 'lisarsp', 'i', 'may', 'come', 'late', 'yes', 'have', 'reminder', 'set', 'tele', '\xf0', 'theleftovers', 'rt', 'vogueandcoffee', 'grab', 'snacks', 'theleftovershbo', 'starts', '10', 'theleftovers', 'season2', 'premiere', 'rt', 'vogueandcoffee', 'grab', 'snacks', 'theleftovershbo', 'starts', '10', 'theleftovers', 'season2', 'premiere', 'rt', 'vogueandcoffee', 'grab', 'snacks', 'theleftovershbo', 'starts', '10', 'theleftovers', 'season2', 'premiere', 'theleftovers', 'hoy', 'vuelve', 'theleftovers', 'por', 'hbolat', 'soy', 'feliz', '\xe2', '\xba', 'rt', 'theleftovershbo', 'tonight', '9', 'theleftovers', 'returns', 'hbo', 'nhttps', 'co', 'turljd7nlh', 'theleftovers', 'wins', 'i', 've', 'waiting', 'long', 'rt', 'theleftovershbo', 'tonight', '9', 'theleftovers', 'returns', 'hbo', 'nhttps', 'co', 'turljd7nlh', 'rt', 'vogueandcoffee', 'grab', 'snacks', 'theleftovershbo', 'starts', '10', 'theleftovers', 'season2', 'premiere', 'rt', 'brandonambro', 'gave', 'bf', 'map', 'miracle', 'told', 'get', 'ready', 'tonight', 'return', 'theleftovers', 'theleftovershbo', 'http', 'c\xe2', 'darrellhyde', 'no', 'contest', 'theleftovers', 'theleftovershbo', 'hbo', 'theleftovers', 'stillhere', 't', '10', 'minutes', 'theleftovers', 'welcometomiracle', 'http', 'co', '19lbqbscr9']"
11,392,2.0,0:52,12,"['jilly', 'theleftovershbo', 'hbo', 'theleftovers', 'stillhere', 'will', 'interesting', 'see', 'go', 'theleftovers', 'season2premiere', 'definitely', 'underrated', 'show', 'ready', 'lose', 'mind', 'next', '2', 'month', 'theleftovers', 'rt', 'twotees68', 'kenseysmom', 'lisarsp', 'i', 'may', 'come', 'late', 'yes', 'have', 'reminder', 'set', 'tele', '\xf0', 'theleftovers', 'rt', 'vogueandcoffee', 'grab', 'snacks', 'theleftovershbo', 'starts', '10', 'theleftovers', 'season2', 'premiere', 'rt', 'vogueandcoffee', 'grab', 'snacks', 'theleftovershbo', 'starts', '10', 'theleftovers', 'season2', 'premiere', 'rt', 'anocksoonamoon', 'theleftovers', 'wins', 'i', 've', 'waiting', 'long', 'rt', 'theleftovershbo', 'tonight', '9', 'theleftovers', 'returns', 'hbo', 'nhttps', 'co', 'turljd7nlh', 'tonight', 'night', 'theleftovers', 'returns', '\xf0', 'oh', 'man', 'i', 'm', 'ready', 'theleftovers', 'hbo', 'look', 'i', 'found', 'theleftovers', 'rt', 'theleftovershbo', 'in', '15', 'minutes', 'meet', 'erika', 'murphy', 'n', 'reginaking', 'theleftovers', 'nhttp', 'co', 'wnhzyqxapg']"
12,303,-1.0,0:53,10,"['rt', 'vogueandcoffee', 'grab', 'snacks', 'theleftovershbo', 'starts', '10', 'theleftovers', 'season2', 'premiere', 'rt', 'bobbyjdaniels', 'bring', 'bleakness', 'theleftovers', 'http', 'co', 'mqooehibt9', 'what', 'i', 'watch', '9', 'what', 'i', 'watch', '9', 'theleftovers', 'homeland', 'rt', 'theleftovershbo', 'tonight', '9', 'theleftovers', 'returns', 'hbo', 'nhttps', 'co', 'turljd7nlh', 't', '10', 'minutes', 'theleftovers', 'welcometomiracle', 'http', 'co', '0lhnbzsebl', 'tough', 'nigh', 'homeland', 'theleftovers', 'rt', 'wjw26', 'look', 'i', 'found', 'theleftovers', 'twotees68', 'lisarsp', 'i', 'love', 'see', '7', 'minutes', 'ladies', 'or', 'whenever', 'heck', 'get', 'lol', 'theleftovers', 'theleftovers', 'n', 'theleftovers', 'n', 'theleftovers', 'n', 'theleftovers', 'n', 'theleftovers', 'n', 'theleftovers', 'n', 'theleftovers', 'pumped', 'theleftovers', 's2', 'premiere', 'hbo', 'greattv']"
13,247,-2.0,0:54,8,"['welcometomiracle', 'theleftovers', 'season', '2', 'starts', '5', 'minutes', 'the', 'tension', 'beyond', 'theleftovershbo', '5', 'minutes', 'are', 'you', 'ready', 'theleftovers', 'rt', 'livingreminders', 't', '10', 'minutes', 'theleftovers', 'welcometomiracle', 'http', 'co', '0lhnbzsebl', 'theleftovershbo', 'hbo', 'theleftovers', 'stillhere', 'was', 'one', 'holy', 'guy', 'kids', 'rt', 'theleftovershbo', 'it\xe2', 'real', 'theleftovers', 'returns', 'october', '4', '9pm', 'hbo', 'http', 'co', 'feyeazig1a', 'waiting', 'see', 'weird', 'new', 'episode', 'theleftovers', 'gonna', 'theleftovers', 'homeland', 'two', 'epic', 'series', 'i', 'mad', 'love', 'noche', 'de', 'estrenos', 'n', 'hbo', 'psi', 'theleftovers', 'n', 'foxaction', 'homeland', 'n', 'universalchannel', 'tgw']"
14,215,0.0,0:55,13,"['yes', 'finally', 'https', 'co', 'vz7bs7nosp', 'rt', 'theleftovershbo', 'begin', 'sunday', '9', 'n', 'theleftovers', 'nhttps', 'co', '9r6i3qq5je', 'theleftovers', 'back', 'tonight', '\xf0', '\xf0', '\xf0', '\xf0', '\xf0', '\xf0', 'was', 'baby', 'nora', 'found', 'one', 'holy', 'guy', 'kids', 'theleftovershbo', 'hbo', 'theleftovers', 'stillhere', 'start', 'feartwd', 'theleftovers', 'tonight', 'askingforafriend', 'rt', 'vogueandcoffee', 'grab', 'snacks', 'theleftovershbo', 'starts', '10', 'theleftovers', 'season2', 'premiere', 'theleftovers', 'time', 'get', 'depressed', 'leftovers', 'season', '2', 'show', 'damn', 'good', 'theleftovers', 'theleftovers', 'theleftovers', 'season', '2', 'premiere', '5', 'mins', 'ahhhh', 'theleftovers', 'finally', 'coming', 'back', 'bringing', 'back', 'depressing', 'feelings', '5', 'minutes', 'cantwait', 'it', 'time', 'theleftovers', 'season', 'premiere', 'rt', 'essencesays', 'let', 'support', 'reginaking', 'emmy', 'win', 'getting', 'another', 'one', 'watch', 'theleftovers', 'tonight', 'hbo', '9pm', '\xf0', '\xf0', '\xbd\xf0', '\xf0', '\xba']"
15,777,8.0,0:56,13,"['rt', 'livingreminders', 't', '10', 'minutes', 'theleftovers', 'welcometomiracle', 'http', 'co', '0lhnbzsebl', 'gotta', 'love', 'excellent', 'television', 'returns', 'homeland', 'theleftovers', 'theaffair', 'eles', 'sendo', 'arrebatados', 'que', 'dor', 'theleftovers', '4', 'minutes', 'til', 'theleftovershbo', 'season', 'premiere', 'ready', 'theleftovers', 'so', 'excited', 'theleftovers', 'tonight', 'hbo', 'i', 'm', 'sure', 'excited', 'right', 'word', 'feeling', 'tonight', 'theleftovers', 'i', 'm', 'happy', 'feel', 'misery', 'spreading', 'thestrain', 'theleftovers', 'homeland', 'theaffair', 'fearthewalkingdead', 'tonight', 'woah', 'geekgirlsoup', 'dvr', 'ftwd', 'skip', 'commercials', 'theleftovershbo', 'hbo', 'theleftovers', 'stillhere', 'homeland', 'theaffair', 'theleftovers', 'thegoodwife', 'feartwd', 'tonight', 'someone', 'come', 'turn', 'i', 'get', 'bed', 'sores', 'sempre', 'fico', 'arrepiado', 'nesse', 'ep', 'foder', 'theleftovers', 'rt', 'geekgirlsoup', 'start', 'feartwd', 'theleftovers', 'tonight', 'askingforafriend', 'theleftovers', '5minutes', 'i', 'm', 'excited', 'this', 'best', 'amp', 'awesome', 'writers', 'welcometomiracle', 'beginagain', 'season2', 'theleftovershbo', 'you', 'joining', 'us', 'hwilson2009', 'theleftovers']"
16,840,11.0,0:57,11,"['thanks', 'lot', 'hbo', 'i', 'turned', 'channel', 'get', 'ready', 'theleftovers', 'see', 'heartbreaking', 'ending', 'americansniper', '\xf0', '\xaa\xf0', 'rt', 'ericaaalovely', 'theleftovers', '5minutes', 'i', 'm', 'excited', 'this', 'best', 'amp', 'awesome', 'writers', 'welcometomiracle', 'beginagain', 'season\xe2', 'enjoyed', 'amazing', 'time', 'friends', 'gigs', 'galore', 'huhc15', 'good', 'unwind', 'w', 'family', '2day', 'baby', 'shower', 'time', 'theleftovers', 'theleftovers', 'tonight', 'finally', 'rt', 'theleftovershbo', 'tonight', '9', 'theleftovers', 'returns', 'hbo', 'nhttps', 'co', 'turljd7nlh', 'time', 'theleftovers', 'rt', 'ericaaalovely', 'theleftovers', '5minutes', 'i', 'm', 'excited', 'this', 'best', 'amp', 'awesome', 'writers', 'welcometomiracle', 'beginagain', 'season\xe2', 'rt', 'ericaaalovely', 'theleftovers', '5minutes', 'i', 'm', 'excited', 'this', 'best', 'amp', 'awesome', 'writers', 'welcometomiracle', 'beginagain', 'season\xe2', 'theleftovers', 'show', 'watch', 'literally', 'one', 'else', 'watches', 'trendsetter', 'i', 'sure', 'hope', 'season', 'theleftovers', 'soul', 'crushing', 'first', 'dvr', 'sweets', 'i', 'love', 'i', 've', 'zombies', 'deal', 'frearsny', 'https', 'co', '5f9j6aw9d2']"
17,369,1.0,0:58,14,"['time', 'theleftovers', 'welcome', 'to', 'miracle', 'theleftovers', '2', 'minutes', 'theleftovers', 'i', 'ready', 'theleftovers', 'can', 'wait', 'it', 'excruciating', 'decision', 'i', 'confess', 'i', 'chose', 'theleftovers', 'thegoodwife', 'tonight', 'if', 'know', 'judge', 'theleftovers', 'back', 'hell', 'yeah', 'i', 'can\xe2', 'even', 'contain', 'fangirlism', 'right', 'my', 'tummy', 'actually', 'knots', 'theleftovers', 'theleftovers', 'premieres', 'tonight', 'in', '2', 'minutes', 'be', 'ready', 'let', 'go', 'jardenofeden', 'y', 'theleftovers', 'theleftovershbo', 'rt', 'santiago8a1999', 'jb27_', 'https', 'co', '1gmobg5iux', 'just', 'finished', 'the', 'princess', 'bride', '30th', 'time', 'theleftovers', 'yay', 'i', 'm', 'excited', 'theleftovers', 'i', 'm', 'losing', 'mind', 'lol', 'about', 'watch', 'season', '2', 'premiere', 'show', 'i', 'worked', '1st', 'season', 'it', 'weird', 'theleftovers', 'theleftovers', 'come', 'back', 'tonight']"
18,446,6.0,0:59,22,"['theleftovers', 'finally', 'back', 'time', 'get', 'hearts', 'ripped', 'psyched', 'https', 'co', 'e6itonmqrh', 'theleftovers', 'time', 'babyyyyyy', 'let', 'see', 'much', 'theleftovers', 'fucks', 'head', 'season', 'we', 're', 'going', 'little', 'experimental', 'tonight', 'live', 'tweeting', 'ftwd', 'finale', 'theleftovers', 'premiere', 'simultaneously', 'shannonmhouston', 'theleftovers', 'guess', 'need', 'get', 'bandwagon', 'finally', 'the', 'leftovers', 'theleftovers', 'definitely', 'choosing', 'theleftovers', 'homeland', 'watch', 'live', 'season', 'hope', 'jamesfadeley', 'agrees', 'so', 'ready', 'theleftovers', 'one', 'best', 'tv', 'shows', 'back', 'theleftovers', 'season', 'premier', 'right', 'now', 'theleftovers', 'starts', 'now', 'hbo', 'theleftovers', 'wait', 'nowwatching', 'season', 'premiere', 'theleftovers', 'rt', 'anistonbeckett', 'theleftovers', 'premieres', 'tonight', 'in', '2', 'minutes', 'be', 'ready', 'finally', 'theleftovershbo', 'back', 'n', 'n', 'theleftovers', 'theamybrenneman', 'carriecoon', 'livtyler', 'theleftovers', 'segunda', 'temporada', 'in', 'bed', 'day', 'watching', 'theleftovershbo', 'marathon', 'day', 'i', 've', 'seen', '1st', 'already', 'good', 'i', 'help', 'theleftovers', 'time', 'theleftovers', 'yes', 'if', 'garvey', 'dad', 'doesn', 'move', 'home', 'miracle', 'i', 'letting', 'dogs', 'theleftovers', 'theleftovers', 'hbo', 'rt', 'ad_foster', 'about', 'watch', 'season', '2', 'premiere', 'show', 'i', 'worked', '1st', 'season', 'it', 'weird', 'theleftovers', 'the', 'finale', 'theleftovers', 's1', 'stays', 'among', 'best', 'still', 'amazing']"
19,2018,2.0,1:0,30,"['ahora', 'seasonpremiere', 'de', 'la', 'temporada', '2', 'de', 'theleftovers', 'por', 'hbo', 'en', 'usa', 'tv', '\xc2', 'no', 'puedo', 'esperar', 'muero', 'por', 'ver', 'la', 'segunda', 'temporada', 'de', 'theleftovers', 'n', 'nhoy', 'en', 'hbolat', 'http', 'co', 'cnn0xoyzl8', 'theleftovers', 'go', 'i', 'feel', 'like', 'theleftovershbo', 'debut', 'day', 'thanksgiving', 'theleftovers', 'hbo', 'foodjokes', 'ready', 'theleftovers', 'comeback', 'presente', 'per', 'il', 'ritorno', 'di', 'theleftovers', 'skyatlantichd', 'leggo', 'theleftovers', 'now', 'know', 'it\xe2', 'wrong', 'theleftovers', 'fearthewallkingdead', 'coming', 'time', 'now', 'know', 'it\xe2', 'wrong', 'theleftovers', 'fearthewallkingdead', 'coming', 'time', 'it', 'happening', 'theleftovers', 'http', 'co', 'xmnqw46nh0', 'theleftovers', 'rt', 'cassiegsmith', 'definitely', 'choosing', 'theleftovers', 'homeland', 'watch', 'live', 'season', 'hope', 'jamesfadeley', 'agrees', 'watching', 'theleftovers', 'thinking', 'done', 'onceuponatime', 'now', 'time', 'theleftovers', 'theleftovers', 'hbo', 'tonight', '9', '8c', 'can', 'everyone', 'feel', 'better', 'season', '2', 'n', 'nread', 'http', 'co', 'ugmfv2toc1', 'finally', 'theleftovers', 'the', 'biggest', 'question', 'heading', 'season', 'theleftovers', 'kevin', 'garvey', 'hang', 'dong', 'theleftovers', 'time', 'rt', 'andrew_cybulska', 'the', 'finale', 'theleftovers', 's1', 'stays', 'among', 'best', 'still', 'amazing', 'omg', 'finally', 'theleftovers', 'now', 'on', 'new', 'season', 'theleftovers', 'premieres', 'same', 'time', 'as', 'us', 'hboasia', 'here', 'go', 'theleftovers', 'welcometomiracle', 'http', 'co', 'dmmdnqdqo7', 'guess', 'i', 'll', 'watch', 'fearthewalkingdead', 'deywalking', 'finale', 'catch', 'theleftovers', 'later', 'tonight', 'buds', 'theleftovers', 'just', 'time', 'must', 'see', 'shows', 'blood', 'amp', 'oil', 'quantico', 'theleftovers', 'jerk', 'chicken', 'cabbage', 'sweet\xe2', 'https', 'co', 'vcnphdljee', 'time', 'second', 'best', 'show', 'ever', 'return', 'theleftovers', 'wait', 'n', 'n', 'theleftovers', 'n', 'seasonii', 'it', 'pumpkin', 'beer', 'justin', 'theroux', 'kind', 'night', 'theleftovers', 'theleftovers', 'lovejustintheroux', 'greatactor', 'theleftovers']"
