,Listed Count,Location,Name,Retweet at,Time,Time Zone,Tweet
2074,5,nul,"""IsntSheGreat""",null,01:45:38,"""Atlantic Time (Canada)""","['GODDAMMIT', 'JERRY', 'TheLeftovers', 'ParksandRec']"
2075,9,"""austin tx","""alphajustakid""",null,01:45:39,"""Central Time (US & Canada)""","['RT', 'RottenTomatoes', 'TheLeftovers', 'Season', '2', 'is', 'currently', 'Fresh', 'at', '89', 'gt', 'http', 't', 'co', 'hlkmNpoyE8', '\xf0', 'Tomatometer', 'TheLeftoversHBO']"
2076,2,"""Beacon Hills | #FreeRol","""LDeLyds""",null,01:45:40,"""Pacific Time (US & Canada)""","['I', 'see', 'you', 'https', 't', 'co', 'QcoiVXAtH1']"
2077,12,"""malenuchis // #nogitsunepack","""L4HEY14""",null,01:45:40,"""Santiago""","['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2078,6,"""Brooklyn, NY","""kenyafairley""",null,01:45:41,"""Eastern Time (US & Canada)""","['Well', 'if', 'he', 'was', 'gonna', 'use', 'the', 'plastic', 'to', 'catch', 'the', 'blood', 'he', 'could', 'have', 'at', 'least', 'made', 'sure', 'it', 'all', 'got', 'caught', 'ON', 'the', 'plastic', '\xf0', 'TheLeftovers']"
2079,9,"""Wisconsin","""BadgrGrl21""",null,01:45:42,null,"['TheLeftovers', 'Mark', 'Linn', 'Baker', 'heh', 'TheLeftovers']"
2080,0,nul,"""PiaHaber""",null,01:45:42,null,"['RT', 'Variety', 'TheLeftovers', 'creators', 'talk', 'challenging', 'the', 'audience', 'in', 'season', '2', 'premiering', 'tonight', 'http', 't', 'co', 'NsjXmhE8gL', 'http', 't', 'co', 'm38Qgm\xe2']"
2081,198,nul,"""1975sciles""",null,01:45:44,"""Eastern Time (US & Canada)""","['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2082,2,nul,"""ArtpopLover14""",null,01:45:45,null,"['RT', 'Variety', 'TheLeftovers', 'creators', 'talk', 'challenging', 'the', 'audience', 'in', 'season', '2', 'premiering', 'tonight', 'http', 't', 'co', 'NsjXmhE8gL', 'http', 't', 'co', 'm38Qgm\xe2']"
2083,2,nul,"""ArtpopLover14""",null,01:45:46,null,"['RT', 'TheLeftoversHBO', 'Tonight', 'at', '9', 'TheLeftovers', 'returns', 'to', 'HBO', 'nhttps', 't', 'co', 'tuRLjd7nLh']"
2084,2,nul,"""ArtpopLover14""",null,01:45:47,null,"['RT', 'TheLeftoversHBO', 'WelcomeToMiracle', 'n', 'n', 'TheLeftovers', 'begins', 'now', 'on', 'HBO', 'http', 't', 'co', 'J4P1Rqtzlc']"
2085,148,"""Los Angeles, CA","""ChadDarnell""",null,01:45:47,"""Pacific Time (US & Canada)""","['I', 'm', 'pretty', 'sure', 'slitting', 'your', 'goat', 's', 'throat', 'in', 'a', 'diner', 'is', 'a', 'health', 'code', 'violation', 'TheLeftovers']"
2086,2,nul,"""ArtpopLover14""",null,01:45:47,null,"['RT', 'maxcarver', 'Can', 't', 'wait', 'to', 'get', 'home', 'so', 'I', 'can', 'watch', 'TheLeftovers', 'on', 'hbo', 'Miracle', 'FrostTwins4Lyfe']"
2087,74,"""West Palm Beach, Florida","""kenseysmom""",null,01:45:48,"""Eastern Time (US & Canada)""","['Always', 'some', 'shifty', 'dudes', 'lol', 'Fake', 'departures', 'galore', 'I', 'have', 'no', 'doubt', 'TheLeftovers']"
2088,0,"""Hamtramck, MI","""SilencioJoe""",null,01:45:50,null,"['This', 'dude', 'just', 'yoked', 'a', 'goat', 'in', 'front', 'of', 'the', 'whole', 'diner', 'and', 'a', 'random', 'lady', 'snapped', 'a', 'pic', 'for', 'the', 'Gram', 'Bruh', 'TheLeftovers']"
2089,49,"""Connecticut","""indoob""",null,01:45:50,null,"['Sooooo', 'random', 'sacrifices', 'in', 'the', 'restaurant', 'And', 'no', 'one', 'was', 'too', 'freaked', 'out', 'about', 'it', 'TheLeftovers']"
